PRDID,LOCID,CURRID,ZDIVISIONID,ZGROUPKEYID,ZSALESOFFICEID,ZVKORGID,ZVTWEGID,KEYFIGUREDATE,ZNETTO2REVENUE
719095,99999999_Dummy,EUR,01,ZZ0127,1004,1010,01,2021-11-30,-2.9
719095,99999999_Dummy,EUR,01,ZZ0127,1004,1010,01,2021-12-31,436.55
719095,99999999_Dummy,EUR,01,ZZ0127,1004,1010,01,2022-01-31,842.4
719095,99999999_Dummy,EUR,01,ZZ0127,1004,1010,01,2022-02-28,1874.25
719095,99999999_Dummy,EUR,01,ZZ0127,1004,1010,01,2022-03-31,-79.35
719095,99999999_Dummy,EUR,01,ZZ0127,1004,1010,01,2022-04-30,-218.5
719095,99999999_Dummy,EUR,01,ZZ0127,1004,1010,01,2022-05-31,-57.2
719095,99999999_Dummy,EUR,01,ZZ0127,1004,1010,01,2022-06-30,1579.6
719095,99999999_Dummy,EUR,01,ZZ0127,1004,1010,01,2022-07-31,1092.0
719095,99999999_Dummy,EUR,01,ZZ0127,1004,1010,01,2022-08-31,624.0
719095,99999999_Dummy,EUR,01,ZZ0127,1004,1010,01,2022-09-30,443.19
719095,99999999_Dummy,EUR,01,ZZ0127,1004,1010,01,2022-10-31,312.0
719095,99999999_Dummy,EUR,01,ZZ0127,99999999_Dummy,1010,01,2023-05-31,0.0
719095,99999999_Dummy,EUR,01,ZZ0127,99999999_Dummy,1010,01,2023-09-30,0.0
719095,99999999_Dummy,EUR,01,ZZ0164,99999999_Dummy,1010,01,2023-10-31,0.0
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2021-01-31,738.0
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2021-02-28,1153.68
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2021-03-31,618.4
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2021-04-30,1559.7
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2021-05-31,981.0
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2021-06-30,3417.8
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2021-07-31,1333.0
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2021-08-31,1145.7
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2021-09-30,1611.69
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2021-10-31,0.0
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2021-11-30,-30.91
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2021-12-31,0.0
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2022-01-31,421.6
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2022-02-28,2466.1
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2022-03-31,305.4
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2022-04-30,458.1
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2022-05-31,1068.9
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2022-06-30,2166.23
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2022-07-31,1741.45
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2022-08-31,647.6
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2022-09-30,485.7
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2022-10-31,931.4
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2022-11-30,161.9
719095,99999999_Dummy,EUR,01,ZZ0200,1004,1010,01,2022-12-31,0.0
719095,99999999_Dummy,EUR,01,ZZ0200,99999999_Dummy,1010,01,2023-05-31,0.0
719095,99999999_Dummy,EUR,01,ZZ0200,99999999_Dummy,1010,01,2023-09-30,0.0
719095,99999999_Dummy,EUR,01,ZZ0209,1004,1010,01,2021-03-31,126.8
719095,99999999_Dummy,EUR,01,ZZ0209,1004,1010,01,2021-04-30,126.8
719095,99999999_Dummy,EUR,01,ZZ0209,1004,1010,01,2021-05-31,126.8
719095,99999999_Dummy,EUR,01,ZZ0209,1004,1010,01,2021-07-31,133.0
719095,99999999_Dummy,EUR,01,ZZ0209,1004,1010,01,2021-10-31,133.0
719095,99999999_Dummy,EUR,01,ZZ0209,1004,1010,01,2022-03-31,148.0
719095,99999999_Dummy,EUR,01,ZZ0209,1004,1010,01,2022-05-31,296.0
719095,99999999_Dummy,EUR,01,ZZ0209,1004,1010,01,2022-08-31,155.4
719095,99999999_Dummy,EUR,01,ZZ0209,1004,1010,01,2022-10-31,155.4
719095,99999999_Dummy,EUR,01,ZZ0216,1004,1010,01,2021-02-28,1073.55
719095,99999999_Dummy,EUR,01,ZZ0216,1004,1010,01,2021-06-30,128.35
719095,99999999_Dummy,EUR,01,ZZ0216,1004,1010,01,2021-07-31,394.65
719095,99999999_Dummy,EUR,01,ZZ0216,1004,1010,01,2021-08-31,265.2
719095,99999999_Dummy,EUR,01,ZZ0216,1004,1010,01,2021-09-30,397.8
719095,99999999_Dummy,EUR,01,ZZ0216,1004,1010,01,2021-12-31,140.4
719095,99999999_Dummy,EUR,01,ZZ0216,1004,1010,01,2022-02-28,2249.1
719095,99999999_Dummy,EUR,01,ZZ0216,1004,1010,01,2022-07-31,780.0
719095,99999999_Dummy,EUR,01,ZZ0216,1004,1010,01,2022-10-31,312.0
719095,99999999_Dummy,EUR,01,ZZ0216,1004,1010,01,2022-11-30,150.6
719095,99999999_Dummy,EUR,01,ZZ0216,99999999_Dummy,1010,01,2023-05-31,0.0
719095,99999999_Dummy,EUR,01,ZZ0216,99999999_Dummy,1010,01,2023-06-30,0.0
719095,99999999_Dummy,EUR,01,ZZ0216,99999999_Dummy,1010,01,2023-09-30,0.0
719095,99999999_Dummy,EUR,01,ZZ0246,1004,1010,01,2021-01-31,1764.6
719095,99999999_Dummy,EUR,01,ZZ0246,1004,1010,01,2021-06-30,0.0
719095,99999999_Dummy,EUR,01,ZZ0246,1004,1010,01,2021-12-31,0.0
