PRDID;LOCID;KEYFIGUREDATE;CURRID;ZDIVISIONID;ZGROUPKEYID;ZSALESOFFICEID;ZVKORGID;ZVTWEGID;ZNETTO2REVENUE
898589;1050;2023-01-20;EUR;01;ZZ0074;2002;1070;01;-3,83
898589;1050;2023-01-25;EUR;01;ZZ0074;2002;1070;01;-26,81
898589;1050;2023-03-09;EUR;01;ZZ0074;2002;1070;01;-26,81
898589;1050;2023-03-16;EUR;01;ZZ0074;2002;1070;01;-3,83
898589;1050;2023-03-17;EUR;01;ZZ0074;2002;1070;01;-3,83
898589;1050;2023-03-20;EUR;01;ZZ0074;2002;1070;01;-7,66
898589;1050;2023-03-21;EUR;01;ZZ0074;2002;1070;01;-3,83
898589;1050;2023-03-28;EUR;01;ZZ0074;2002;1070;01;-3,83
898589;1050;2023-04-11;EUR;01;ZZ0074;2002;1070;01;-7,66
898589;1050;2023-04-14;EUR;01;ZZ0074;2002;1070;01;-3,83
898589;1050;2023-04-18;EUR;01;ZZ0074;2002;1070;01;-11,49
898589;1050;2023-04-21;EUR;01;ZZ0074;2002;1070;01;-11,49
898589;1050;2023-05-11;EUR;01;ZZ0074;2002;1070;01;-3,83
898589;1050;2023-05-31;EUR;01;ZZ0074;2002;1070;01;-7,66
898589;1050;2023-06-01;EUR;01;ZZ0074;2002;1070;01;-3,83
898589;1050;2023-06-23;EUR;01;ZZ0074;2002;1070;01;-3,83
898589;1050;2023-06-29;EUR;01;ZZ0074;2002;1070;01;-7,66
898589;1050;2023-07-18;EUR;01;ZZ0074;2002;1070;01;-3,83
898589;1050;2023-07-21;EUR;01;ZZ0074;2002;1070;01;-3,83
898589;1050;2023-08-17;EUR;01;ZZ0074;2002;1070;01;-3,83
898589;1050;2023-08-21;EUR;01;ZZ0074;2002;1070;01;-3,83
898589;1050;2023-08-23;EUR;01;ZZ0074;2002;1070;01;-3,83
898589;1050;2023-08-25;EUR;01;ZZ0074;2002;1070;01;-7,66
898589;1050;2023-08-28;EUR;01;ZZ0074;2002;1070;01;-3,83
898589;1050;2023-09-04;EUR;01;ZZ0074;2002;1070;01;-8,02
898589;1050;2023-09-08;EUR;01;ZZ0074;2002;1070;01;-4,01
898589;1050;2023-09-21;EUR;01;ZZ0074;2002;1070;01;-4,01
898589;1050;2023-10-04;EUR;01;ZZ0074;2002;1070;01;-4,01
898589;1050;2023-10-05;EUR;01;ZZ0074;2002;1070;01;-4,01
898589;1050;2023-10-06;EUR;01;ZZ0074;2002;1070;01;-4,01
898589;1050;2023-10-13;EUR;01;ZZ0074;2002;1070;01;-4,01
898589;1050;2023-10-18;EUR;01;ZZ0074;2002;1070;01;-8,02
898589;1050;2023-10-25;EUR;01;ZZ0074;2002;1070;01;-4,01
898589;1050;2023-11-02;EUR;01;ZZ0074;2002;1070;01;-8,02
898589;1050;2023-11-07;EUR;01;ZZ0074;2002;1070;01;-8,02
898589;1050;2023-11-09;EUR;01;ZZ0074;2002;1070;01;-4,01
898589;1050;2023-11-15;EUR;01;ZZ0074;2002;1070;01;-8,02
898589;1050;2023-11-17;EUR;01;ZZ0074;2002;1070;01;-8,02
898589;1050;2023-11-29;EUR;01;ZZ0074;2002;1070;01;-4,01
898589;1050;2023-12-01;EUR;01;ZZ0074;2002;1070;01;-8,02
898589;1050;2023-01-27;EUR;01;ZZ0134;2002;1070;01;-22,4
898589;1050;2023-03-14;EUR;01;ZZ0134;2002;1070;01;-13,44
898589;1050;2023-03-15;EUR;01;ZZ0134;2002;1070;01;-22,4
898589;1050;2023-03-27;EUR;01;ZZ0134;2002;1070;01;-44,8
898589;1050;2023-07-04;EUR;01;ZZ0134;2002;1070;01;-17,92
898589;1050;2023-09-11;EUR;01;ZZ0134;2002;1070;01;-13,44
898589;1050;2023-10-10;EUR;01;ZZ0134;2002;1070;01;-13,44
898589;1050;2023-11-06;EUR;01;ZZ0134;2002;1070;01;-13,44
898589;1050;2023-11-29;EUR;01;ZZ0134;2002;1070;01;-13,44
898589;1050;2023-03-22;EUR;01;ZZ0160;2002;1070;01;-5,8
898589;1050;2023-03-29;EUR;01;ZZ0160;2002;1070;01;-2,9
898589;1050;2023-04-17;EUR;01;ZZ0160;2002;1070;01;-2,9
898589;1050;2023-05-04;EUR;01;ZZ0160;2002;1070;01;-2,9
898589;1050;2023-05-10;EUR;01;ZZ0160;2002;1070;01;-5,8
898589;1050;2023-06-28;EUR;01;ZZ0160;2002;1070;01;-2,9
898589;1050;2023-09-06;EUR;01;ZZ0199;2002;1070;01;-4,95
898589;1050;2023-01-11;EUR;01;ZZ0235;2002;1070;01;-1,44
898589;1050;2023-01-12;EUR;01;ZZ0235;2002;1070;01;0,46
898589;1050;2023-01-13;EUR;01;ZZ0235;2002;1070;01;-3,63
898589;1050;2023-01-16;EUR;01;ZZ0235;2002;1070;01;1,38
898589;1050;2023-01-18;EUR;01;ZZ0235;2002;1070;01;-1,21
898589;1050;2023-01-19;EUR;01;ZZ0235;2002;1070;01;-0,98
898589;1050;2023-01-20;EUR;01;ZZ0235;2002;1070;01;0,46
898589;1050;2023-01-23;EUR;01;ZZ0235;2002;1070;01;0,69
898589;1050;2023-01-25;EUR;01;ZZ0235;2002;1070;01;0,46
898589;1050;2023-01-27;EUR;01;ZZ0235;2002;1070;01;1,61
898589;1050;2023-01-30;EUR;01;ZZ0235;2002;1070;01;-2,42
898589;1050;2023-01-31;EUR;01;ZZ0235;2002;1070;01;0,36
898589;1050;2023-02-03;EUR;01;ZZ0235;2002;1070;01;1,61
898589;1050;2023-02-06;EUR;01;ZZ0235;2002;1070;01;0,46
898589;1050;2023-02-09;EUR;01;ZZ0235;2002;1070;01;-2,88
898589;1050;2023-02-10;EUR;01;ZZ0235;2002;1070;01;0,23
898589;1050;2023-02-13;EUR;01;ZZ0235;2002;1070;01;0,46
898589;1050;2023-02-14;EUR;01;ZZ0235;2002;1070;01;0,46
898589;1050;2023-02-15;EUR;01;ZZ0235;2002;1070;01;0,64
898589;1050;2023-02-16;EUR;01;ZZ0235;2002;1070;01;-0,52
898589;1050;2023-02-17;EUR;01;ZZ0235;2002;1070;01;-2,33
898589;1050;2023-02-20;EUR;01;ZZ0235;2002;1070;01;-4,6
898589;1050;2023-03-08;EUR;01;ZZ0235;2002;1070;01;0,46
898589;1050;2023-03-09;EUR;01;ZZ0235;2002;1070;01;1,15
898589;1050;2023-03-10;EUR;01;ZZ0235;2002;1070;01;0,92
898589;1050;2023-03-13;EUR;01;ZZ0235;2002;1070;01;1,15
898589;1050;2023-03-14;EUR;01;ZZ0235;2002;1070;01;-3,4
898589;1050;2023-03-15;EUR;01;ZZ0235;2002;1070;01;1,84
898589;1050;2023-03-16;EUR;01;ZZ0235;2002;1070;01;1,38
898589;1050;2023-03-17;EUR;01;ZZ0235;2002;1070;01;0,46
898589;1050;2023-03-20;EUR;01;ZZ0235;2002;1070;01;0,46
898589;1050;2023-03-21;EUR;01;ZZ0235;2002;1070;01;0,23
898589;1050;2023-03-22;EUR;01;ZZ0235;2002;1070;01;2,99
898589;1050;2023-03-27;EUR;01;ZZ0235;2002;1070;01;1,18
898589;1050;2023-03-28;EUR;01;ZZ0235;2002;1070;01;1,84
898589;1050;2023-03-29;EUR;01;ZZ0235;2002;1070;01;1,15
898589;1050;2023-04-04;EUR;01;ZZ0235;2002;1070;01;0,23
898589;1050;2023-04-05;EUR;01;ZZ0235;2002;1070;01;1,38
898589;1050;2023-04-11;EUR;01;ZZ0235;2002;1070;01;1,38
898589;1050;2023-04-12;EUR;01;ZZ0235;2002;1070;01;0,46
898589;1050;2023-04-13;EUR;01;ZZ0235;2002;1070;01;0,46
898589;1050;2023-04-14;EUR;01;ZZ0235;2002;1070;01;0,46
898589;1050;2023-04-17;EUR;01;ZZ0235;2002;1070;01;0,23
898589;1050;2023-04-18;EUR;01;ZZ0235;2002;1070;01;0,69
898589;1050;2023-04-19;EUR;01;ZZ0235;2002;1070;01;-0,75
898589;1050;2023-04-20;EUR;01;ZZ0235;2002;1070;01;0,46
898589;1050;2023-04-21;EUR;01;ZZ0235;2002;1070;01;0,46
898589;1050;2023-04-24;EUR;01;ZZ0235;2002;1070;01;0,46
898589;1050;2023-05-02;EUR;01;ZZ0235;2002;1070;01;0,46
898589;1050;2023-05-03;EUR;01;ZZ0235;2002;1070;01;3,22
898589;1050;2023-05-04;EUR;01;ZZ0235;2002;1070;01;0,23
898589;1050;2023-05-05;EUR;01;ZZ0235;2002;1070;01;0,46
898589;1050;2023-05-08;EUR;01;ZZ0235;2002;1070;01;0,23
898589;1050;2023-05-09;EUR;01;ZZ0235;2002;1070;01;0,46
898589;1050;2023-05-10;EUR;01;ZZ0235;2002;1070;01;0,23
